ID_POL;Fecha_Siniestro;TipoSin;Costes
B83459;29/10/2017;Daños Propios;881,83
B83478;04/09/2017;Daños Propios;286,2
B83478;04/09/2017;Daños Propios;300,12
B83505;02/10/2017;Daños Propios;295,03
B83505;02/10/2017;Daños Propios;306,29
B83505;02/10/2017;Daños Propios;378,77
B83505;02/10/2017;Daños Propios;545,52
B83505;02/10/2017;Daños Propios;5814,75
B83520;14/03/2017;Daños Propios;299,73
B83521;24/10/2017;Daños Propios;292,92
B83521;24/10/2017;Daños Propios;324,22
B83521;24/10/2017;Daños Propios;342,43
B83521;24/10/2017;Daños Propios;342,43
B83522;28/10/2017;Daños Propios;80,37
B83522;28/10/2017;Daños Propios;171,13
B83522;28/10/2017;Daños Propios;179,55
B83522;28/10/2017;Daños Propios;408,14
B83564;20/03/2017;Daños Propios;363,93
B83568;04/02/2017;Daños Propios;194,19
B83571;06/10/2017;Daños Propios;83,59
B83589;09/04/2017;Daños Propios;299,73
B83589;01/10/2017;Daños Propios;326,15
B83589;24/09/2017;Daños Propios;602,69
B83589;24/09/2017;Daños Propios;651,51
B83589;24/09/2017;Daños Propios;941,42
B83591;01/02/2017;Daños Propios;1152,47
B83621;07/07/2017;Daños Propios;198,4
B83621;12/10/2017;Daños Propios;1405,74
B83639;09/11/2017;Daños Propios;94,38
B83639;27/09/2017;Daños Propios;587,37
B83643;30/10/2017;Daños Propios;134,85
B83643;24/10/2017;Daños Propios;203,01
B83643;24/10/2017;Daños Propios;390,93
B83711;28/10/2017;Daños Propios;299,02
B83732;24/04/2017;Daños Propios;48,4
B83732;22/04/2017;Daños Propios;94,38
B83742;27/10/2017;Daños Propios;445,33
B83742;27/10/2017;Daños Propios;537,64
B83748;06/11/2017;Daños Propios;154,9
B83748;06/11/2017;Daños Propios;253,78
B83748;06/11/2017;Daños Propios;281,4
B83748;06/11/2017;Daños Propios;360,35
B83748;06/11/2017;Daños Propios;366,76
B83776;02/06/2017;Daños Propios;302,84
B83777;17/10/2017;Daños Propios;268,02
B83851;03/11/2017;Daños Propios;2266,26
