ID_POL;Antigüedad;Forma_Pago;Comb;Sexo;Bonus_RC;start_date;end_date;Expuestos;Edad_FMT;Valor_FMT;Potencia_FMT;Peso_FMT;Carnet_FMT
B80162;2;S;D;1;50;42736;43047;311;04.35-50;04.20-24k;05.130-150;05. 1600;04.8-
B80163;10;A;D;2;50;42753;43100;347;04.35-50;02.10-16k;04.110-130;04. 1400;04.8-
B80164;9;A;D;1;50;42736;43053;317;04.35-50;05.24-30k;06.150-200;05. 1600;04.8-
B80165;10;S;G;1;50;42736;43043;307;04.35-50;03.16-20k;06.150-200;04. 1400;04.8-
B80166;10;A;D;1;0;42736;43043;307;03.28-35;04.20-24k;05.130-150;05. 1600;04.8-
B80167;10;A;D;2;30;42736;43043;307;04.35-50;02.10-16k;04.110-130;04. 1400;01.0-1
B80168;10;A;D;1;20;42736;43043;307;03.28-35;04.20-24k;04.110-130;05. 1600;04.8-
B80169;10;A;G;1;20;42736;43043;307;05.50-65;01.<10k;05.130-150;03. 1200;04.8-
B80170;6;A;D;1;50;42736;43046;310;03.28-35;03.16-20k;05.130-150;04. 1400;04.8-
B80171;10;A;D;2;50;42736;43063;327;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80173;6;A;D;1;40;42736;43043;307;04.35-50;02.10-16k;03.90-110;03. 1200;02.2-4
B80174;10;A;D;2;50;42736;43043;307;04.35-50;01.<10k;01.<70;02. 1000;04.8-
B80175;7;A;D;1;20;42736;43072;336;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80176;8;A;D;1;50;42736;43044;308;04.35-50;03.16-20k;06.150-200;04. 1400;04.8-
B80177;0;A;G;1;50;42805;43043;238;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80177;10;A;G;1;50;42736;43043;307;04.35-50;02.10-16k;04.110-130;03. 1200;04.8-
B80178;5;A;D;2;50;42736;43099;363;03.28-35;02.10-16k;02.70-90;03. 1200;03.5-7
B80179;10;A;D;2;50;42736;43053;317;04.35-50;02.10-16k;02.70-90;02. 1000;04.8-
B80180;10;A;D;2;50;42736;43046;310;03.28-35;01.<10k;01.<70;03. 1200;04.8-
B80181;1;A;D;1;50;42736;43043;307;03.28-35;02.10-16k;02.70-90;03. 1200;02.2-4
B80182;9;A;G;1;50;42736;43044;308;04.35-50;01.<10k;02.70-90;02. 1000;04.8-
B80183;9;A;G;1;20;42736;43051;315;03.28-35;02.10-16k;04.110-130;02. 1000;04.8-
B80184;10;A;G;1;50;42736;43043;307;05.50-65;01.<10k;02.70-90;02. 1000;04.8-
B80185;10;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;04.110-130;05. 1600;04.8-
B80186;10;A;D;1;40;42736;43044;308;02.25-28;02.10-16k;03.90-110;04. 1400;04.8-
B80187;9;A;D;1;50;42736;43043;307;05.50-65;01.<10k;01.<70;02. 1000;04.8-
B80189;5;A;D;1;50;42736;43043;307;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80190;8;A;D;2;50;42736;43089;353;04.35-50;02.10-16k;03.90-110;03. 1200;03.5-7
B80191;10;A;G;1;50;42736;43043;307;03.28-35;02.10-16k;04.110-130;03. 1200;03.5-7
B80192;1;A;G;1;50;42736;43044;308;05.50-65;03.16-20k;05.130-150;04. 1400;04.8-
B80193;10;A;D;1;20;42930;43043;113;02.25-28;02.10-16k;02.70-90;03. 1200;03.5-7
B80193;10;A;D;1;20;42736;42929;193;02.25-28;02.10-16k;01.<70;03. 1200;03.5-7
B80194;10;A;D;2;50;42736;43049;313;04.35-50;02.10-16k;02.70-90;03. 1200;02.2-4
B80195;9;A;D;1;50;42736;43043;307;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80196;7;A;D;1;0;42736;43071;335;05.50-65;02.10-16k;02.70-90;03. 1200;04.8-
B80197;10;A;D;1;50;42736;43085;349;04.35-50;01.<10k;01.<70;03. 1200;04.8-
B80198;5;A;D;1;50;42736;43043;307;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80199;6;A;D;1;50;42736;43043;307;02.25-28;03.16-20k;03.90-110;04. 1400;03.5-7
B80202;5;T;G;1;50;42736;43027;291;03.28-35;06.30-35k;07.>200;05. 1600;04.8-
B80202;5;T;G;1;50;43028;43044;16;03.28-35;06.30-35k;07.>200;05. 1600;04.8-
B80203;10;S;D;1;10;42736;43043;307;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80204;8;A;D;1;50;42736;43044;308;05.50-65;02.10-16k;02.70-90;03. 1200;04.8-
B80205;7;S;G;1;50;42736;43044;308;04.35-50;05.24-30k;05.130-150;04. 1400;04.8-
B80206;10;A;G;1;50;42736;43080;344;04.35-50;02.10-16k;05.130-150;03. 1200;04.8-
B80206;10;A;G;1;50;43081;43100;19;04.35-50;02.10-16k;05.130-150;03. 1200;04.8-
B80207;10;A;D;1;50;42736;43043;307;04.35-50;04.20-24k;05.130-150;04. 1400;04.8-
B80208;5;A;D;1;50;42736;43067;331;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80209;10;A;G;1;10;42736;43023;287;04.35-50;01.<10k;02.70-90;03. 1200;04.8-
B80209;10;A;G;1;10;43038;43098;60;04.35-50;01.<10k;02.70-90;03. 1200;04.8-
B80209;10;A;G;1;10;43024;43037;13;04.35-50;01.<10k;02.70-90;03. 1200;04.8-
B80210;8;A;D;1;50;42736;43043;307;05.50-65;02.10-16k;03.90-110;04. 1400;04.8-
B80211;8;A;D;1;50;42736;43044;308;03.28-35;02.10-16k;03.90-110;05. 1600;04.8-
B80212;10;A;D;1;50;42736;42939;203;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80213;10;A;G;2;0;42736;43043;307;04.35-50;01.<10k;01.<70;01.<800;04.8-
B80214;10;A;D;1;50;42736;43043;307;06.>=65;03.16-20k;03.90-110;04. 1400;04.8-
B80215;10;A;G;1;50;42736;43051;315;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80216;9;A;G;1;50;42736;43069;333;05.50-65;02.10-16k;03.90-110;03. 1200;04.8-
B80217;10;A;G;1;50;42736;43057;321;03.28-35;02.10-16k;04.110-130;03. 1200;04.8-
B80218;7;A;D;1;50;42736;43077;341;04.35-50;04.20-24k;05.130-150;05. 1600;04.8-
B80219;10;A;D;1;50;42736;43097;361;05.50-65;04.20-24k;04.110-130;07. >1800;04.8-
B80220;10;S;D;1;50;42736;43043;307;04.35-50;02.10-16k;04.110-130;04. 1400;04.8-
B80221;4;A;D;1;50;42869;43043;174;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80221;4;A;D;1;50;42826;42852;26;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80221;4;A;D;1;50;42853;42868;15;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80221;10;A;D;1;50;42736;42825;89;04.35-50;05.24-30k;05.130-150;05. 1600;04.8-
B80222;3;A;D;1;40;42736;43043;307;03.28-35;04.20-24k;03.90-110;04. 1400;04.8-
B80223;8;A;D;1;50;42736;43044;308;04.35-50;04.20-24k;04.110-130;05. 1600;04.8-
B80225;10;A;D;2;50;42736;43029;293;04.35-50;01.<10k;01.<70;04. 1400;04.8-
B80225;10;A;D;2;50;43030;43044;14;04.35-50;01.<10k;01.<70;04. 1400;04.8-
B80226;10;A;D;1;50;42736;43043;307;06.>=65;01.<10k;01.<70;02. 1000;04.8-
B80227;10;A;G;1;50;42736;43043;307;03.28-35;01.<10k;01.<70;02. 1000;04.8-
B80228;10;A;D;1;50;42736;43044;308;05.50-65;01.<10k;02.70-90;03. 1200;04.8-
B80229;3;A;G;1;20;42736;43069;333;03.28-35;03.16-20k;04.110-130;04. 1400;04.8-
B80230;9;A;D;1;50;42736;43057;321;04.35-50;03.16-20k;03.90-110;04. 1400;04.8-
B80231;10;A;D;1;20;42736;43043;307;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80232;1;A;G;1;50;42736;43043;307;06.>=65;02.10-16k;03.90-110;04. 1400;04.8-
B80233;10;A;D;1;50;42736;43043;307;03.28-35;02.10-16k;03.90-110;05. 1600;04.8-
B80234;4;A;D;1;40;42736;43062;326;05.50-65;03.16-20k;03.90-110;04. 1400;04.8-
B80235;9;A;D;2;50;42736;43097;361;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80236;9;A;D;1;50;42736;43043;307;03.28-35;02.10-16k;01.<70;03. 1200;04.8-
B80237;6;A;D;2;40;42736;43053;317;03.28-35;02.10-16k;02.70-90;03. 1200;04.8-
B80238;8;A;D;2;30;42736;43069;333;04.35-50;02.10-16k;02.70-90;03. 1200;04.8-
B80239;10;A;D;1;40;42839;43006;167;04.35-50;02.10-16k;04.110-130;04. 1400;04.8-
B80239;10;A;D;1;40;43007;43043;36;04.35-50;02.10-16k;04.110-130;04. 1400;04.8-
B80239;10;A;G;1;40;42736;42838;102;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80240;10;A;D;1;50;42736;43044;308;03.28-35;01.<10k;01.<70;02. 1000;04.8-
B80241;10;A;D;1;50;42736;43044;308;04.35-50;03.16-20k;04.110-130;05. 1600;04.8-
B80242;8;A;G;2;50;42736;43099;363;03.28-35;02.10-16k;03.90-110;03. 1200;04.8-
B80243;9;A;D;2;20;42736;43044;308;03.28-35;04.20-24k;05.130-150;07. >1800;04.8-
B80244;10;A;D;1;0;42736;43043;307;04.35-50;01.<10k;01.<70;03. 1200;04.8-
B80247;10;A;D;1;50;42736;43043;307;05.50-65;01.<10k;01.<70;01.<800;04.8-
B80248;2;A;G;1;50;42736;43043;307;06.>=65;02.10-16k;04.110-130;03. 1200;04.8-
B80249;10;A;D;2;50;42736;43043;307;04.35-50;01.<10k;01.<70;02. 1000;04.8-
B80250;6;A;D;2;50;42763;43100;337;04.35-50;03.16-20k;04.110-130;04. 1400;04.8-
B80251;10;A;D;1;50;42736;43043;307;04.35-50;02.10-16k;03.90-110;03. 1200;04.8-
B80252;10;A;D;1;50;42736;43067;331;04.35-50;02.10-16k;03.90-110;04. 1400;04.8-
B80253;7;A;D;1;30;42736;43044;308;04.35-50;03.16-20k;05.130-150;04. 1400;04.8-
B80254;10;A;D;1;40;42736;43043;307;05.50-65;02.10-16k;01.<70;03. 1200;04.8-
B80255;7;A;D;1;50;42736;43043;307;05.50-65;02.10-16k;04.110-130;05. 1600;04.8-
