ID_POL;Antigüedad;Forma_Pago;Potencia;Peso;Valor;Comb;Sexo;Edad;Carnet;Bonus_RC;start_date;end_date
B80266;7;A;115;1461;16978,05;D;1;26;8;50;01/01/2017;04/11/2017
B80267;1;A;115;1216;16818,64;D;2;50;10;50;01/01/2017;05/11/2017
B80268;1;A;100;1108;13032,73;G;1;33;10;50;01/01/2017;05/11/2017
B80269;10;A;65;1030;9038,66;D;2;40;10;50;01/01/2017;04/11/2017
B80270;9;A;174;2124;38110;D;1;37;10;50;13/08/2017;05/11/2017
B80270;10;A;120;1420;18692,91;D;1;37;10;50;01/01/2017;12/08/2017
B80271;10;A;130;1507;18787,73;D;2;33;10;50;01/01/2017;06/11/2017
B80272;5;A;140;1599;27068,63;D;2;35;10;40;01/01/2017;05/11/2017
B80273;1;A;105;1210;15513,26;G;2;41;9;50;01/01/2017;04/11/2017
B80274;3;A;105;1239;18588,64;D;2;33;10;20;01/01/2017;04/11/2017
B80275;8;A;140;1454;23914;D;1;38;10;50;01/01/2017;04/11/2017
B80276;6;A;115;1363;11625,83;G;2;32;8;50;01/01/2017;05/11/2017
B80277;10;A;90;1200;13123,59;D;1;53;10;30;01/01/2017;04/11/2017
B80278;6;A;100;1285;16317,07;D;1;31;10;50;01/01/2017;20/11/2017
B80279;10;S;75;1280;11601,63;D;1;28;6;20;01/01/2017;23/06/2017
B80279;10;S;75;1280;11601,63;D;1;28;6;20;24/06/2017;04/11/2017
B80281;10;A;64;1152;11809,56;D;1;33;10;40;01/01/2017;04/11/2017
B80283;9;S;140;1281;18883,31;D;1;28;9;40;01/01/2017;08/10/2017
B80283;9;S;140;1281;18883,31;D;1;28;9;40;09/10/2017;04/11/2017
B80284;8;A;140;1430;24522,87;D;2;33;10;50;01/01/2017;04/11/2017
B80285;8;A;140;1454;22540,02;D;1;33;10;50;01/01/2017;01/12/2017
B80286;7;A;70;1382;12960;D;1;43;10;50;01/01/2017;04/11/2017
B80287;10;A;185;1644;31015;D;1;67;10;30;01/01/2017;04/11/2017
B80288;4;A;105;1150;15669,92;D;2;31;10;20;01/01/2017;04/11/2017
B80289;7;A;100;1428;14991,87;D;1;39;10;50;01/01/2017;04/11/2017
B80290;10;A;110;1260;12961,13;D;1;37;10;50;01/01/2017;05/11/2017
